TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
36652;-0.04;9.96;-0.99;-2.04;0.00;-6.08
36756;-0.20;9.97;-1.00;-2.13;0.24;-6.22
36860;-0.26;9.96;-0.92;-2.11;-0.18;-6.03
36965;-0.36;9.98;-1.06;-1.95;-0.11;-6.06
37069;-0.50;9.99;-1.03;-2.05;0.07;-6.10
37174;-0.41;9.97;-1.01;-2.14;0.02;-6.16
37278;-0.50;9.92;-0.99;-1.95;0.11;-6.04
37382;-0.63;9.91;-0.93;-2.18;-0.15;-5.93
37486;-0.79;9.95;-1.02;-2.17;0.02;-6.09
37591;-1.00;9.90;-1.00;-2.10;-0.02;-6.07
37695;-1.04;9.91;-0.99;-2.12;-0.03;-6.10
37799;-1.05;9.88;-1.11;-2.07;0.20;-6.16
37904;-1.08;9.87;-0.92;-2.00;0.05;-6.20
38008;-1.23;9.86;-0.97;-2.02;0.11;-6.16
38113;-1.36;9.85;-1.00;-1.99;-0.11;-6.09
38217;-1.59;9.80;-1.08;-1.97;0.06;-5.97
38322;-1.58;9.78;-1.06;-2.07;-0.02;-6.02
38426;-1.63;9.83;-1.04;-2.15;-0.11;-6.11
38531;-1.66;9.81;-1.02;-2.07;-0.06;-6.08
38635;-1.79;9.72;-0.98;-1.91;-0.08;-5.94
38739;-1.86;9.82;-0.99;-2.17;-0.16;-5.97
38844;-1.97;9.72;-1.03;-2.10;-0.04;-6.11
38948;-2.09;9.72;-1.10;-2.09;0.47;-6.16
39053;-1.77;9.74;-0.83;-1.92;0.30;-6.07
39157;-2.25;9.78;-1.00;-1.88;-0.27;-5.92
39262;-2.33;9.71;-1.12;-1.95;-0.08;-6.11
39366;-2.37;9.65;-0.98;-2.07;0.07;-6.13
39471;-2.43;9.62;-1.14;-1.91;0.02;-6.07
39575;-2.47;9.62;-0.95;-2.01;0.05;-6.04
39680;-2.56;9.57;-1.03;-2.17;0.04;-6.07
39784;-2.68;9.54;-0.96;-2.11;0.02;-6.15
39888;-2.78;9.56;-0.99;-2.14;-0.20;-6.02
39993;-2.90;9.52;-1.06;-2.22;0.01;-6.10
