TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
31846;-0.09;0.17;9.08;-2.08;0.11;-1.30
31950;-0.14;0.18;9.13;-2.21;-0.11;-1.16
32055;-0.11;0.18;9.08;-2.09;-0.04;-1.11
32159;-0.02;0.20;9.14;-2.20;0.15;-0.96
32264;-0.16;0.23;9.10;-2.04;-0.30;-1.16
32368;-0.10;0.18;9.08;-2.24;0.53;-0.97
32473;-0.00;0.20;9.18;-2.37;0.66;-1.02
32577;-0.08;0.25;9.09;-2.56;1.32;-0.94
32681;-0.09;0.17;9.06;-2.40;1.49;-1.15
32786;-0.05;0.17;9.03;-2.29;0.31;-1.10
32890;-0.08;0.16;9.12;-2.27;0.13;-1.21
32995;-0.11;0.28;9.11;-2.10;0.06;-1.12
33099;-0.12;0.21;9.07;-2.22;-0.14;-1.14
33204;-0.14;0.27;9.03;-2.12;-0.45;-1.21
33308;-0.15;0.17;9.07;-2.08;-1.30;-1.06
33413;0.30;0.03;9.16;-5.03;0.01;15.15
33517;-0.04;0.13;9.08;-2.26;0.02;-0.95
33622;-0.11;0.18;9.08;-2.20;0.11;-0.89
33726;-0.11;0.16;9.11;-2.20;-0.12;-1.14
33830;-0.07;0.18;9.06;-2.05;0.20;-1.21
33935;-0.01;0.14;9.10;-2.19;-0.15;-1.14
34039;-0.10;0.10;9.14;-2.22;0.01;-1.14
34144;-0.04;0.10;9.05;-2.18;-0.02;-1.18
34247;-0.07;0.14;9.13;-2.14;0.10;-1.13
34352;-0.11;0.16;9.15;-2.11;-0.05;-1.16
34456;-0.09;0.13;9.13;-2.24;-0.14;-1.05
34561;-0.06;0.14;9.07;-2.17;0.12;-1.11
34665;-0.11;0.20;9.07;-2.13;0.01;-1.02
34769;-0.09;0.11;9.14;-2.34;-0.04;-1.31
34874;-0.08;0.12;9.14;-2.24;0.23;-1.17
34978;-0.09;0.17;9.16;-2.34;0.02;-1.12
35083;-0.08;0.15;9.08;-1.50;0.02;-1.01
35187;-0.11;0.15;9.26;-2.67;0.10;-1.05
35292;-0.16;0.08;8.93;-5.86;0.46;-1.23
35396;-0.09;-0.13;8.45;-2.72;0.61;-0.95
35501;-0.97;-0.07;8.96;-2.08;-0.60;5.72
35605;0.15;-0.05;9.20;-11.76;6.75;2.61
35709;-0.54;-0.08;8.93;-7.90;12.34;-8.22
35814;-0.89;-0.29;8.78;-4.42;22.16;6.09
35918;-1.08;-0.15;8.69;-8.22;20.93;-9.73
36023;0.06;-0.37;8.61;3.91;-17.45;0.83
36127;-0.53;0.18;9.04;8.39;22.44;41.67
36232;-0.37;-0.12;7.99;3.65;7.84;30.61
36336;-0.14;0.19;9.03;-2.17;0.11;-1.18
36441;-0.10;0.20;9.13;-2.32;-0.11;-1.19
36545;-0.11;0.14;9.09;-2.18;-0.13;-1.30
36649;-0.10;0.14;9.06;-2.33;0.03;-1.11
36754;-0.09;0.16;9.09;-2.18;-0.08;-1.21
36858;-0.01;0.17;9.05;-2.15;0.08;-1.19
36963;-0.16;0.16;9.11;-2.20;0.20;-1.17
37067;-0.08;0.16;9.03;-2.17;-0.06;-1.30
37172;-0.11;0.18;9.14;-2.23;0.18;-1.16
37276;-0.06;0.18;9.13;-2.08;-0.08;-0.98
37381;-0.10;0.24;8.96;-2.11;0.18;-1.20
37485;-0.10;0.17;9.12;-2.19;-0.05;-1.17
37590;-0.05;0.15;9.13;-2.13;0.02;-1.11
37694;-0.08;0.17;9.09;-2.37;0.10;-1.30
37798;-0.09;0.19;9.14;-2.17;-0.05;-0.95
37903;-1.61;-0.68;8.63;-3.45;-3.75;-0.98
38007;0.12;0.80;9.40;-1.21;3.99;-16.78
38112;1.25;-0.70;7.80;-11.91;-115.78;33.74
38216;2.37;0.56;9.60;-23.93;-139.10;12.22
38321;3.14;-1.92;6.17;8.05;-14.39;11.52
38425;1.99;-1.01;9.52;-4.25;-20.42;7.21
38530;1.29;-4.90;9.13;6.77;-44.50;77.34
38634;1.21;-1.73;10.12;15.15;-19.21;12.05
38739;1.62;-0.93;9.22;15.45;-116.57;-5.07
38844;3.65;-1.18;8.83;-16.86;-15.98;-17.32
38948;2.90;-2.94;7.43;40.66;165.50;-20.48
39053;-2.74;-0.52;5.19;51.85;245.77;2.64
39157;-2.84;-1.49;7.54;7.36;136.56;75.72
39262;-4.52;-0.10;7.29;44.19;138.14;-29.03
39367;-4.31;-2.64;9.72;-9.39;-56.19;1.08
39472;-4.62;-0.99;7.34;-15.41;45.17;7.79
39576;-7.02;-1.38;6.85;1.94;157.88;19.03
39681;-6.94;-0.20;5.02;15.82;38.28;-4.27
39785;-5.69;0.33;-2.11;-49.94;81.82;-1.09
39889;-4.85;0.94;1.06;30.14;63.95;9.53
39994;-9.43;-2.70;0.44;48.83;82.32;-9.61
40098;-10.22;-1.55;-1.91;-33.35;44.71;55.11
40203;-8.98;-0.50;-4.16;21.73;71.18;-7.10
40307;-8.56;-0.18;-4.28;15.08;98.35;23.68
40413;-9.12;0.41;-5.40;-8.16;77.13;-6.47
40517;-6.96;-0.69;-6.19;-24.80;-3.68;-13.54
40622;-9.16;0.45;-7.10;-38.57;-108.53;-30.22
40726;-9.67;-0.23;-5.77;8.15;-67.13;-25.54
40830;-9.10;-1.19;-3.39;-28.56;-98.40;-33.90
40935;-8.66;-2.23;-1.55;-69.40;-157.60;-31.48
41039;-7.35;-2.31;0.94;-6.94;-30.06;-110.60
41145;-2.87;-4.83;2.57;12.15;3.83;-69.44
41249;-0.03;-6.17;0.86;-38.39;13.84;-25.41
41354;-6.86;-5.76;2.94;-23.79;-92.25;9.48
41458;-3.55;-5.98;7.65;4.17;-45.00;-11.86
41563;-4.51;-5.77;5.78;21.01;20.81;-28.59
41667;-1.50;-6.17;7.38;-0.19;-34.58;2.85
41772;-2.85;-5.31;4.62;-2.82;-29.88;20.52
41876;-0.40;-7.52;10.24;3.20;-250.00;-24.38
41980;-4.17;-4.47;4.61;29.78;28.36;-41.95
42086;-3.18;-2.99;7.66;42.66;97.90;8.01
42190;-2.51;-4.10;7.62;-18.55;-39.88;-22.62
42295;2.26;-4.61;9.77;76.54;-232.28;-21.97
42399;2.69;-4.48;8.27;-49.96;-157.97;-64.13
42504;5.41;-0.24;5.82;-53.58;-250.00;-83.02
42608;8.26;-1.85;0.56;1.00;-250.00;-16.33
42713;11.14;-2.46;-2.03;-59.10;-250.00;80.41
42818;7.43;-2.97;-5.69;-14.56;-188.60;14.14
42923;5.25;-2.79;-7.23;-26.86;-176.77;-24.11
43027;5.26;-3.50;-7.90;-47.46;37.41;-22.79
43131;5.10;-4.22;-6.53;-49.10;45.64;74.44
43236;12.15;-0.74;-19.63;-20.81;-105.63;-23.68
43341;5.43;-1.93;-9.87;17.29;-150.27;10.46
43446;2.15;-1.50;-12.87;15.82;-8.51;-19.63
43550;8.29;-0.72;-9.39;-32.33;249.99;-7.54
43655;8.23;-1.67;-6.56;52.07;-64.13;-27.19
43759;9.27;-1.20;-3.45;-9.40;87.43;-23.38
43864;9.37;-2.65;-2.11;0.17;-141.75;-23.68
43969;8.73;-2.63;-4.42;17.08;31.35;-9.69
44073;7.45;-2.21;-5.47;35.49;-151.22;-17.54
44178;6.94;-0.00;-6.81;-19.40;-98.98;10.89
44282;6.36;0.18;-10.06;24.51;-56.11;-13.31
44387;7.24;-3.92;-6.73;93.99;-69.97;-23.95
44491;1.70;-0.66;-8.33;-61.90;-96.03;-52.65
44596;0.09;-0.75;-9.08;35.41;-52.25;-56.37
44701;1.96;-0.36;-11.84;23.35;-74.43;-18.70
44806;-0.03;-1.70;-5.99;-34.36;-18.30;-36.73
44910;-0.37;-0.37;-13.56;-23.60;52.46;8.41
45015;1.03;0.96;-14.76;-21.38;161.31;25.20
45119;2.93;-2.01;-10.00;1.45;48.71;-1.02
45223;3.44;0.08;-10.53;-1.53;29.54;-1.27
45328;3.76;0.09;-9.44;-2.95;-50.81;-1.30
45432;3.49;0.05;-10.34;-1.60;44.88;-0.71
45538;4.17;0.11;-9.95;-3.27;-37.58;16.10
45642;2.05;-0.53;-10.09;8.71;-26.44;56.11
45747;1.96;-0.38;-11.05;-2.88;-6.29;-12.47
45851;0.38;0.44;-11.22;4.49;10.02;-50.61
45956;2.55;0.12;-10.91;-3.29;-28.04;-1.04
46060;2.27;0.08;-10.39;-2.30;2.11;-1.20
46164;2.34;0.04;-10.56;-2.05;2.27;-1.19
46269;2.36;0.03;-10.63;-2.22;0.43;-1.21
46373;2.34;0.02;-10.63;-2.25;-0.28;-1.12
46478;2.37;0.08;-10.66;-2.35;-0.53;-1.17
46582;2.30;0.00;-10.62;-2.33;-0.08;-1.21
46687;2.37;0.05;-10.60;-2.18;-0.01;-1.18
46791;2.33;0.07;-10.57;-2.20;-0.50;-1.17
46896;2.28;0.05;-10.59;-1.98;-0.20;-1.06
47000;2.25;0.04;-10.59;-2.16;-1.30;-1.25
47105;2.31;0.04;-10.59;-2.17;-0.30;-1.27
47209;2.29;0.08;-10.53;-2.01;-0.32;-1.17
47313;2.27;0.00;-10.62;-2.14;-0.39;-1.05
47418;2.26;0.03;-10.63;-1.98;-0.72;-1.07
