TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
23392;-0.17;-0.12;9.16;-2.14;0.69;-1.02
23496;0.15;0.18;8.96;-2.15;0.25;-1.15
23601;-0.13;0.06;9.00;-2.36;0.16;-1.00
23705;-0.11;0.05;9.13;-2.23;0.01;-1.15
23810;-0.03;0.04;9.17;-2.18;-0.03;-1.06
23914;-0.08;-0.15;9.19;-2.18;0.09;-1.24
24018;-0.09;0.04;9.04;-2.16;-0.11;-1.15
24123;-0.02;0.13;9.12;-2.11;-0.40;-1.13
24227;-0.02;0.04;9.01;-2.14;-0.02;-1.18
24331;-0.17;0.07;9.08;-2.36;0.13;-1.02
24435;-0.14;0.21;9.02;-2.11;0.06;-1.17
24540;-0.01;0.20;9.03;-2.19;-0.01;-1.02
24644;-0.01;0.19;9.05;-2.14;0.08;-1.05
24749;-0.07;0.08;9.03;-2.18;-0.02;-1.00
24853;-0.13;0.16;9.15;-2.32;0.25;-1.05
24957;-0.06;-0.02;9.04;-2.08;0.06;-1.20
25062;-0.06;-0.00;9.04;-2.24;-0.05;-1.08
25166;-0.07;0.20;9.06;-2.24;0.11;-1.12
25271;-0.13;0.17;9.11;-2.17;0.08;-1.08
25375;-0.03;0.15;9.02;-2.14;-0.05;-1.12
25480;-0.11;0.16;9.03;-2.14;0.02;-1.01
25584;-0.11;0.21;9.10;-2.16;0.14;-1.04
25689;-0.04;0.19;9.15;-2.20;0.05;-1.11
25793;-0.06;0.21;9.07;-2.26;0.04;-1.12
25897;-0.01;0.22;9.08;-2.20;-0.02;-1.01
26002;-0.10;0.15;9.13;-2.11;0.03;-1.14
26106;-0.09;0.18;9.01;-2.19;-0.03;-1.21
26211;-0.09;0.19;9.12;-2.20;-0.01;-0.98
26315;-0.03;0.22;9.09;-1.95;0.04;-1.10
26420;-0.07;0.21;9.10;-2.22;-0.02;-1.17
26524;-0.10;0.20;9.16;-2.23;0.09;-1.05
26629;-0.08;0.22;9.11;-2.33;0.04;-1.08
26733;-0.07;0.24;9.09;-2.30;-0.02;-1.10
26838;-0.13;0.16;8.99;-2.11;-0.02;-0.97
26942;-0.07;0.18;9.09;-2.14;0.11;-0.89
27045;-0.07;0.25;9.03;-2.27;0.08;-1.09
27150;-0.08;0.18;8.99;-2.12;0.08;-1.12
27254;-0.10;0.22;9.17;-2.15;0.07;-1.05
27359;-0.07;0.18;9.10;-2.14;-0.08;-1.22
27463;-0.10;0.20;8.99;-2.04;-0.01;-1.11
27568;-0.11;0.22;8.99;-2.17;-0.18;-1.14
27672;-0.10;0.19;9.00;-2.20;-0.18;-1.15
27777;-0.14;0.23;9.07;-2.25;0.02;-1.13
27881;-0.04;0.19;9.04;-2.20;-0.02;-1.09
27985;-0.10;0.20;9.08;-2.18;0.05;-1.14
28090;-0.05;0.22;9.15;-2.24;-0.05;-1.00
28194;-0.03;0.13;9.05;-2.11;0.01;-1.25
28299;-0.07;0.19;9.10;-2.27;0.00;-1.05
28403;-0.10;0.15;9.00;-2.12;0.05;-1.13
28508;-0.07;0.15;9.13;-2.21;-0.05;-1.14
28612;-0.09;0.19;9.04;-2.18;0.01;-1.04
28717;-0.05;0.23;9.05;-2.08;0.03;-1.05
28821;-0.12;0.15;9.15;-2.17;0.09;-1.08
28925;-0.12;0.21;9.08;-2.22;-0.11;-1.08
29030;-0.10;0.17;9.14;-2.24;-0.13;-1.17
29134;-0.09;0.21;9.16;-2.22;-0.10;-1.01
29239;-0.06;0.24;9.18;-2.22;0.03;-1.17
29343;-0.07;0.20;9.11;-2.19;0.02;-1.14
29448;-0.04;0.19;9.14;-2.31;0.03;-1.11
29552;-0.01;0.13;9.12;-2.19;0.02;-1.13
29657;-0.12;0.01;9.08;-2.27;0.05;-1.12
29760;-0.06;0.06;9.03;-2.06;-0.03;-0.98
29864;-0.12;-0.22;9.13;-2.14;0.05;-1.11
29969;-0.23;-0.30;9.09;-2.37;0.32;-1.05
30073;-0.01;-0.12;9.06;-2.27;0.07;-1.11
30178;-0.44;-0.43;9.20;-1.98;0.11;-0.96
30282;0.16;-0.01;8.98;-2.11;0.19;-1.24
30387;-0.06;0.13;8.78;-2.40;0.27;-1.06
30491;-0.40;-0.03;9.28;-2.16;0.26;-1.11
30596;-0.12;0.39;9.18;-2.17;-0.92;-1.11
30700;0.03;0.26;8.91;-2.19;-0.62;-1.03
30804;-0.07;0.29;9.23;-2.19;0.08;-1.31
30909;-0.23;0.04;9.20;-2.53;1.12;-1.24
31013;-0.16;0.17;8.72;-2.27;-0.59;-0.94
31118;-0.04;-0.03;9.09;-2.05;0.02;-1.08
31222;-0.45;-0.01;8.79;-2.66;1.16;-0.92
31327;-0.69;0.04;9.21;-2.41;1.35;-0.77
31431;0.29;0.31;9.26;-2.37;1.42;-0.87
31536;0.11;0.64;8.47;-2.37;-0.88;-1.22
31640;0.11;0.06;9.03;-2.01;-0.01;-1.35
31745;-0.01;0.22;8.70;-2.01;-0.32;-1.11
31849;-0.40;0.05;9.38;-2.07;-0.83;-0.95
31953;0.06;0.08;8.77;-2.11;-0.42;-0.73
32058;0.35;0.13;9.23;-2.03;-0.94;-1.24
32162;-0.03;0.06;8.76;-1.90;-0.31;-1.15
32267;-0.08;0.01;9.26;-2.35;0.40;-1.35
32371;-0.25;0.01;8.87;-2.66;1.31;-1.01
32476;-0.38;0.11;9.40;-1.91;-0.88;-1.09
32580;-0.85;-0.07;9.67;-2.00;-0.59;-0.82
32685;-0.28;0.02;9.33;-2.46;0.76;-1.27
32789;0.55;0.39;8.29;-2.01;1.59;-1.12
32893;-0.02;-0.21;10.22;-1.79;-0.49;-1.24
32998;-0.86;0.39;9.58;-2.08;-0.15;-1.15
33102;-0.15;0.47;9.02;-1.99;1.27;-1.16
33207;0.38;0.03;9.00;-2.44;-0.57;-1.05
33310;-0.85;0.25;9.10;-2.34;-0.52;-0.96
33415;-0.34;0.25;8.44;-2.44;-0.72;-0.94
33519;-0.17;0.40;8.83;-2.40;0.66;-1.06
33624;-0.15;0.03;8.65;-2.40;-0.08;-0.98
33728;-0.56;0.29;9.05;-1.98;-1.07;-1.14
33832;0.51;0.21;9.25;-2.24;-0.69;-1.27
33937;0.35;0.27;9.23;-2.17;-2.64;-1.34
34041;-1.07;-0.11;10.42;-1.84;-1.25;-0.91
34146;-0.22;0.42;9.36;-2.11;0.04;-1.31
34250;-0.06;0.01;8.86;-2.31;-0.34;-1.08
34355;-0.15;0.33;9.31;-2.13;-1.06;-1.14
34459;-0.05;0.20;9.10;-2.01;-0.81;-1.34
34564;0.11;0.19;8.45;-2.37;0.43;-1.09
34668;-0.05;-0.01;8.86;-2.25;0.61;-1.00
34772;0.41;0.32;8.18;-2.56;0.73;-1.05
34877;0.05;0.35;9.08;-2.08;0.94;-1.06
34981;-0.26;0.27;8.27;-2.24;0.62;-0.98
35086;0.27;0.26;9.01;-2.17;0.21;-1.23
35190;-0.51;-0.05;10.14;-1.44;-1.28;-1.22
35295;0.32;0.37;8.68;-2.11;-0.02;-1.04
35399;-0.02;-0.09;9.28;-2.14;0.62;-0.96
35504;0.07;0.27;9.14;-2.12;-1.66;-1.14
35608;0.74;0.59;8.58;-2.36;1.05;-1.13
35713;-0.43;0.36;9.62;-2.12;-0.65;-1.08
35817;-0.03;0.46;8.86;-2.37;-0.49;-1.01
35921;0.08;0.28;8.75;-1.98;0.40;-0.89
36026;-0.40;0.04;9.54;-2.12;0.43;-0.95
36130;-0.02;0.21;8.88;-2.09;-0.75;-0.85
36235;-0.29;-0.19;9.69;-1.94;-0.14;-1.11
36339;0.25;0.28;8.28;-2.50;0.41;-0.84
36444;0.23;0.48;7.92;-2.74;0.26;-1.14
36548;0.08;0.02;9.43;-2.08;1.38;-1.19
36653;0.17;0.27;9.39;-1.95;-0.77;-1.09
36757;0.02;0.33;8.61;-2.02;-0.92;-1.14
